kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_steff
10811496,"K00753.01","FALSE POSITIVE","FALSE POSITIVE",19.89913995,175.850252,1.7822,10829,14.6,5853.00
10848459,"K00754.01","FALSE POSITIVE","FALSE POSITIVE",1.736952453,170.307565,2.40641,8079.2,33.46,5805.00
10854555,"K00755.01","CONFIRMED","CANDIDATE",2.525591777,171.59555,1.6545,603.3,2.75,6031.00
10872983,"K00756.01","CONFIRMED","CANDIDATE",11.09432054,171.20116,4.5945,1517.5,3.9,6046.00
10872983,"K00756.02","CONFIRMED","CANDIDATE",4.13443512,172.97937,3.1402,686,2.77,6046.00
9579641,"K00115.03","CANDIDATE","CANDIDATE",3.43591631,132.6624,3.133,23.2,0.55,5779.00
10872983,"K00756.03","CONFIRMED","CANDIDATE",2.56658897,179.55437,2.429,226.5,1.59,6046.00
5436502,"K00834.01","CONFIRMED","CANDIDATE",23.65369415,171.376107,8.2183,3341.8,7.89,5739.00
5436502,"K00834.02","CONFIRMED","CANDIDATE",13.23352214,140.32196,6.7372,504.6,3.06,5739.00
5436502,"K00834.03","CONFIRMED","CANDIDATE",6.15560285,134.81656,4.9843,285,2.32,5739.00
5436502,"K00834.04","CONFIRMED","CANDIDATE",2.090811305,134.17462,3.388,115.9,1.62,5739.00
5436502,"K00834.05","CONFIRMED","CANDIDATE",50.4467417,178.5014,7.159,370.3,2.67,5739.00
9471974,"K00119.01","CONFIRMED","CANDIDATE",49.18394185,141.911924,11.3364,1646.2,8.2,5626.00
5456651,"K00835.01","CONFIRMED","CANDIDATE",11.76307164,180.93613,2.9076,1037.3,2.35,4959.00
7907423,"K00899.03","CONFIRMED","CANDIDATE",15.36845737,147.38965,2.4714,756.1,1.11,3561.00
7938496,"K00900.01","CONFIRMED","CANDIDATE",13.81020318,172.33533,3.048,1309.7,4.56,5942.00
8013419,"K00901.01","CANDIDATE","CANDIDATE",12.732624065,176.939054,2.2083,6465.7,4.87,3950.00
8018547,"K00902.01","CANDIDATE","CANDIDATE",83.92494032,236.76334,6.7904,7958.7,4.78,3960.00
8039892,"K00903.01","CONFIRMED","CANDIDATE",5.007316661,173.433997,4.2362,6932.3,6.96,5865.00
5897826,"K00126.01","FALSE POSITIVE","FALSE POSITIVE",33.80364366,202.259731,11.4813,13494.4,20.7,5855.00
8150320,"K00904.01","CONFIRMED","CANDIDATE",2.211116989,170.150139,1.6485,724.2,1.85,4500.00
8561063,"K00961.02","CONFIRMED","FALSE POSITIVE",0.453287416,133.869741,0.4445,1461.5,0.76,3292.00
8561063,"K00961.03","CONFIRMED","CANDIDATE",1.865114193,133.792344,0.4279,1124.8,0.66,3292.00
10657664,"K00964.01","FALSE POSITIVE","FALSE POSITIVE",3.273699006,171.2385098,3.07626,6862.8,22.36,10816.00
3337351,"K00965.01","FALSE POSITIVE","FALSE POSITIVE",7.047103499,175.03337,3.3208,71318,51.86,5730.00
3233043,"K00966.01","FALSE POSITIVE","FALSE POSITIVE",0.379463865,170.2480164,0.86896,1973.3,59.56,5075.00
6579806,"K00967.01","FALSE POSITIVE","FALSE POSITIVE",9.88047978,173.608672,2.78458,18541,23.6,6113.00
3560301,"K00968.01","FALSE POSITIVE","FALSE POSITIVE",4.6484156,261.09395,38.1939,128.4,5.06,6980.00
5880320,"K01060.02","CONFIRMED","CANDIDATE",4.75796103,137.69636,4.66,124.5,1.7,6021.00
5880320,"K01060.03","CONFIRMED","CANDIDATE",20.4972755,147.43894,8.536,242.9,2.96,6021.00
5880320,"K01060.04","CONFIRMED","CANDIDATE",8.19345065,138.99617,5.234,115.4,1.74,6021.00
6037187,"K01061.01","CONFIRMED","CANDIDATE",41.8059544,142.81919,6.057,434.4,2.02,5907.00
6147122,"K01062.01","FALSE POSITIVE","FALSE POSITIVE",15.45158184,142.21096,2.406,85.3,2.02,7839.00
8257407,"K01063.01","FALSE POSITIVE","FALSE POSITIVE",89.698168533,176.3060152,5.5418,273106,102.08,6214.00
4649305,"K00143.01","CANDIDATE","CANDIDATE",22.65117451,140.337593,3.6895,2250,7.62,6968.00
6307521,"K01126.02","FALSE POSITIVE","FALSE POSITIVE",475.91706,588.8926,22.86,967.3,28.22,5334.00
6359320,"K01127.01","CONFIRMED","CANDIDATE",5.32667299,357.12617,3.4045,611.4,2.26,5831.00
6359320,"K01127.02","CONFIRMED","CANDIDATE",8.1280933,358.68367,3.727,224.1,1.39,5831.00
3835670,"K00149.01","CONFIRMED","CANDIDATE",14.55730897,145.095012,7.7643,956.9,4.32,5774.00
6359320,"K01127.03","CANDIDATE","CANDIDATE",2.83668931,353.81531,3.031,166.1,1.19,5831.00
